operational_point_id,name,latitude,longitude,valid_from,valid_to
13016100,Kúty,48.66195,17.04753,2012-01-01T00:00:00,2050-12-31T00:00:00
13136700,Devínska Nová Ves,48.21905,16.97637,2012-01-01T00:00:00,2050-12-31T00:00:00
13176300,Bratislava-Železná studienka,48.17457,17.07279,2012-01-01T00:00:00,2050-12-31T00:00:00
19010800,Odb. Močiar,48.18854,17.14967,2012-01-01T00:00:00,2050-12-31T00:00:00
13256300,Ivanka pri Dunaji,48.19458,17.26001,2012-01-01T00:00:00,2050-12-31T00:00:00
13246400,Bernolákovo,48.19787,17.30602,2012-01-01T00:00:00,2050-12-31T00:00:00
13266200,Veľký Biel,48.20604,17.36299,2012-01-01T00:00:00,2050-12-31T00:00:00
13276100,Senec,48.21356,17.41417,2012-01-01T00:00:00,2050-12-31T00:00:00
13286000,Reca,48.21916,17.45546,2012-01-01T00:00:00,2050-12-31T00:00:00
13326400,Galanta,48.185,17.72297,2012-01-01T00:00:00,2050-12-31T00:00:00
13346200,Topoľnica,48.16639,17.79511,2012-01-01T00:00:00,2050-12-31T00:00:00
13336300,Šaľa,48.14764,17.85972,2012-01-01T00:00:00,2050-12-31T00:00:00
14476600,Nemšová,48.96779,18.12173,2012-01-01T00:00:00,2050-12-31T00:00:00
14466700,Horné Srnie,48.99744,18.09942,2012-01-01T00:00:00,2050-12-31T00:00:00
10106300,Horné Srnie št. hr.,49.02859,18.05719,2012-01-01T00:00:00,2050-12-31T00:00:00
17655200,Púchov závody,49.10751,18.31691,2012-01-01T00:00:00,2050-12-31T00:00:00
17575200,Zariečie,49.17721,18.25233,2012-01-01T00:00:00,2050-12-31T00:00:00
17545500,Lúky pod Makytou,49.19127,18.22782,2012-01-01T00:00:00,2050-12-31T00:00:00
17985300,Lysá pod Makytou,49.19542,18.19615,2012-01-01T00:00:00,2050-12-31T00:00:00
17995200,Strelenka,49.183905,18.144822,2012-01-01T00:00:00,2050-12-31T00:00:00
10095800,Lúky pod Makytou št. hr.,49.18002,18.13109,2012-01-01T00:00:00,2050-12-31T00:00:00
14486500,Borčice,48.98129,18.13392,2012-01-01T00:00:00,2050-12-31T00:00:00
17115700,Bolešov,48.991201,18.154221,2012-01-01T00:00:00,2050-12-31T00:00:00
17105800,Pruské,49.0209,18.21074,2012-01-01T00:00:00,2050-12-31T00:00:00
17155300,Dulov,49.034478,18.234537,2012-01-01T00:00:00,2050-12-31T00:00:00
17165200,Horovce,49.051356,18.258312,2012-01-01T00:00:00,2050-12-31T00:00:00
17145400,Lednické Rovne,49.07052,18.28404,2012-01-01T00:00:00,2050-12-31T00:00:00
14316400,Gbely zastávka,48.706921,17.079535,2012-01-01T00:00:00,2050-12-31T00:00:00
14306500,Gbely,48.72354,17.09106,2012-01-01T00:00:00,2050-12-31T00:00:00
14336200,Kopčany,48.771578,17.121205,2012-01-01T00:00:00,2050-12-31T00:00:00
14346100,Kátov,48.82832,17.17767,2012-01-01T00:00:00,2050-12-31T00:00:00
14366900,Skalica na Slovensku,48.850188,17.218451,2012-01-01T00:00:00,2050-12-31T00:00:00
10126100,Skalica na Slovensku št. hr.,48.86829,17.23916,2012-01-01T00:00:00,2050-12-31T00:00:00
18255000,Brodno,49.266656,18.75246,2012-01-01T00:00:00,2050-12-31T00:00:00
18265900,Rudina,49.28088,18.758104,2012-01-01T00:00:00,2050-12-31T00:00:00
18245100,Kysucké Nové Mesto,49.306219,18.784211,2012-01-01T00:00:00,2050-12-31T00:00:00
18225300,Dunajov,49.359905,18.818443,2012-01-01T00:00:00,2050-12-31T00:00:00
18215400,Krásno nad Kysucou,49.378727,18.835748,2012-01-01T00:00:00,2050-12-31T00:00:00
18155200,Oščadnica,49.4185,18.8322,2012-01-01T00:00:00,2050-12-31T00:00:00
18125500,Čadca mesto,49.43667,18.794,2012-01-01T00:00:00,2050-12-31T00:00:00
18115600,Čadca,49.44528,18.78681,2012-01-01T00:00:00,2050-12-31T00:00:00
