line_code,section_name_raw,deployment_status_raw,mandatory_etcs_deadline,length_km,application_level,baseline,srs
125 A,"(Púchov –) dopravňa DOT Cífer <==> Svätý Jur z (– Bratislava hlavná stanica)","v prevádzke (od 01.07.2006)",31.12.2030,"28,667",L1,"Baseline 2","SRS 2.2.2"
125 A,"(Púchov –) dopravňa DOT Cífer (– Bratislava hlavná stanica)","v prevádzke (od 23.05.2007)",31.12.2030,"1,304",L1,"Baseline 2","SRS 2.2.2"
125 A,"(Púchov –) výhybňa DOT, z Brestovany <==> dopravňa DOT Cífer (– Bratislava hlavná stanica)","v prevádzke (od 01.12.2005)",31.12.2030,"8,941",L1,"Baseline 2","SRS 2.2.2"
125 A,"(Púchov –) ŽST Leopoldov <==> výhybňa DOT, z Brestovany (– Bratislava hlavná stanica)","v prevádzke (od 25.10.2007)",31.12.2030,"6,865",L1,"Baseline 2","SRS 2.2.2"
125 A,"(Púchov –) ŽST Leopoldov (– Bratislava hlavná stanica)","v prevádzke (od 30.11.2006)",31.12.2030,"2,298",L1,"Baseline 2","SRS 2.2.2"
125 A,"(Púchov –) výhybňa DOT Výh. Potvorice <==> ŽST Leopoldov (– Bratislava hlavná stanica)","v prevádzke (od 01.12.2007)",31.12.2030,"28,506",L1,"Baseline 2","SRS 2.2.2"
125 A,"(Púchov –) ŽST Nové Mesto nad Váhom <==> výhybňa DOT Výh. Potvorice (– Bratislava hlavná stanica)","v prevádzke (od 01.07.2009)",31.12.2030,"4,377",L1,"Baseline 2","SRS 2.2.2"
125 A,"(Púchov –) ŽST Nové Mesto nad Váhom (– Bratislava hlavná stanica)","v prevádzke (od 05.11.2008)",31.12.2030,"2,780",L1,"Baseline 2","SRS 2.3.0d"
125 A,"(Púchov –) výhybňa DOT Výh. Nivy <==> ŽST Nové Mesto nad Váhom (– Bratislava hlavná stanica)","v prevádzke (od 01.07.2009)",31.12.2030,"13,505",L1,"Baseline 2","SRS 2.3.0d"
125 A,"(Púchov –) Trenčín-Zlatovce obvod stanice <==> výhybňa DOT Výh. Nivy (– Bratislava hlavná stanica)","v prevádzke (od 07.12.2015)",31.12.2030,"8,477",L1,"Baseline 2","SRS 2.3.0d"
125 A,"(Púchov –) ŽST Trenčín <==> Trenčín-Zlatovce obvod stanice (– Bratislava hlavná stanica)","v prevádzke (od 04.12.2013)",31.12.2030,"0,725",L1,"Baseline 2","SRS 2.3.0d"
125 A,"(Púchov –) ŽST Trenčianska Teplá <==> ŽST Trenčín (– Bratislava hlavná stanica)","v prevádzke (od 01.12.2014)",31.12.2030,"7,262",L1,"Baseline 2","SRS 2.3.0d"
125 A,"(Púchov –) dopravňa DOT Dubnica nad Váhom <==> ŽST Trenčianska Teplá (– Bratislava hlavná stanica)","v prevádzke (od 01.09.2011)",31.12.2030,"5,333",L1,"Baseline 2","SRS 2.3.0d"
125 A,"(Púchov –) dopravňa DOT Ladce <==> dopravňa DOT Dubnica nad Váhom (– Bratislava hlavná stanica)","v prevádzke (od 01.01.2013)",31.12.2030,"12,770",L1,"Baseline 2","SRS 2.3.0d"
125 A,"ŽST Púchov <==> dopravňa DOT Ladce (– Bratislava hlavná stanica)","v prevádzke (od 01.01.2014)",31.12.2030,"10,252",L1,"Baseline 2","SRS 2.3.0d"
106 A,"(Kraľovany –) dopravňa DOT Považská Bystrica <==> ŽST Púchov","v prevádzke (od 20.10.2020)",31.12.2030,"8,848",L1,"Baseline 2","SRS 2.3.0d"
106 A,"(Kraľovany –) dopravňa DOT Považská Bystrica (– Púchov)","v prevádzke (od 22.06.2019)",31.12.2030,"2,057",L1,"Baseline 2","SRS 2.3.0d"
106 A,"(Kraľovany –) výhybňa DOT Výh. Plevník-Drienové <==> dopravňa DOT Považská Bystrica (– Púchov)","v prevádzke (od 20.10.2020)",31.12.2030,"6,567",L1,"Baseline 2","SRS 2.3.0d"
106 A,"(Kraľovany –) ŽST Žilina zriaďovacia stanica <==> výhybňa DOT Výh. Plevník-Drienové (– Púchov)","v prevádzke (od 01.07.2017)",31.12.2030,"14,022",L1,"Baseline 2","SRS 2.3.0d"
106 D,"ŽST Žilina (mimo) <==> ŽST Čadca (– Čadca št. hr. – Mosty u Jablunkova/CZ)","v prevádzke (s uvedením v rokoch 2009-2015)",31.12.2030,"30,606",L2,"Baseline 2","SRS 2.3.0d"
