network_section_id,from_operational_point_id,to_operational_point_id,length_km,track_count_code,tudu
10931,10020600,13790100,1.242,0,
10904,19001700,13601000,2.203,0,
10085,13360300,13350400,2.836,0,
10087,13340500,13330600,1.473,0,
10467,10026300,19021500,2.164,0,
10105,13181300,13081500,7.919,0,
10111,13031000,13011200,2.313,0,
10121,17875600,19007400,1.716,0,
10147,17465600,17445800,1.162,0,
10351,17935800,17775800,1.502,0,
10052,18315200,18415000,1.103,0,
10055,18305300,18385500,2.187,0,
10039,18135400,18195800,2.112,0,
10994,15900400,15910300,2.6,0,
10811,14590400,14570600,1.638,0,
10818,14811400,14801500,1.643,0,
10007,17575200,17555400,4.364,0,
10264,17025800,17035700,2.142,0,
10253,13816400,13826300,6.438,0,
10599,15480700,15460900,1.41,0,
10171,14200000,19112200,2.75,0,
10197,14221600,14400600,2.172,0,
10200,13300900,14000400,3.203,0,
10207,14100200,14080600,1.63,0,
10156,17685900,17665100,4.595,0,
10155,17665100,17675000,2.569,0,
10972,18730200,19028000,0.819,0,
10542,13123500,13133400,9.425,0,
10226,13616800,18006700,0.526,0,
10369,13146600,13096300,8.832,0,
10370,13096300,13106000,5.383,0,
10376,13046800,13016100,6.404,0,
10416,14086300,14076400,2.239,0,
10410,19123900,13126800,1.416,0,
10418,13096300,16456600,3.879,0,
10419,16456600,13116900,2.507,0,
10425,13226600,14576300,6.423,0,
10336,19004100,13906300,0.53,0,
9003,17715400,17395500,3.244,0,
10560,13093000,17355900,6.42,0,
10619,15216500,15206600,4.399,0,
10668,15396500,15406200,1.74,0,
10673,15476500,15466600,2.113,0,
10677,15506900,15516800,3.37,0,
10685,15576200,15586100,3.427,0,
10690,17245200,18055400,3.262,0,
10693,18055400,17255100,1.04,0,
10695,17265000,17285800,2.775,0,
10783,15906100,15916000,2.92,0,
10784,15916000,19120500,0.174,0,
10723,16156200,15542400,1.21,0,
10721,19029800,16256000,1.83,0,
10708,15976400,15966500,4.014,0,
10450,14706600,14716500,4.229,0,
10446,14668800,14666200,1.483,0,
10474,15886500,15876600,4.493,0,
10291,13686100,18276600,0.543,0,
10292,18276600,14276000,4.259,0,
10357,14436000,14426100,1.673,0,
10021,14306500,14336200,5.77,0,
10024,14346100,14366900,3.98,0,
