Datasety_Intenzita ŽD;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
2025;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;Počet vých vlakov;;;;Počet konč vlakov;;;;Počet tranz vlakov;;;;Počet vých vlakov;Počet konč vlakov;Počet tranz vlakov
;N;;O;;N;;O;;N;;O;;;;
Úplný názov dopravného bodu;ND;ND osobitného určenia;OD;OD osobitného určenia;ND;ND osobitného určenia;OD;OD osobitného určenia;ND;ND osobitného určenia;OD;OD osobitného určenia;;;
AH Beluša;0;0;0;0;0;0;0;0;8206;1861;39527;170;0;0;49764
AH Bodovice;0;0;0;0;0;0;0;0;2147;715;15744;141;0;0;18747
AH Budča;0;0;0;0;0;0;0;0;968;1210;14195;272;0;0;16645
AH Bôrik;0;0;0;0;0;0;0;0;11188;3036;24836;102;0;0;39162
AH Dolina;0;0;0;0;0;0;0;0;7467;2542;57702;154;0;0;67865
AH Drahovce;0;0;0;0;0;0;0;0;7339;1582;28454;113;0;0;37488
AH Dubeň;0;0;0;0;0;0;0;0;8370;3796;19941;333;0;0;32440
AH Dubovec;0;0;0;0;0;0;0;0;8481;2095;33474;199;0;0;44249
AH Filice;0;0;0;0;0;0;0;0;5447;1512;12408;44;0;0;19411
AH Hliny;0;0;0;0;0;0;0;0;238;95;4149;1;0;0;4483
AH Hôrka;0;0;0;0;0;0;0;0;5447;1512;12408;44;0;0;19411
AH Kotešová;0;0;0;0;0;0;0;0;8902;2000;32938;223;0;0;44063
AH Lieskovec;0;0;0;0;0;0;0;0;1553;1286;15437;33;0;0;18309
AH Madunice;0;0;0;0;0;0;0;0;7385;1598;28454;113;0;0;37550
AH Manín;0;0;0;0;0;0;0;0;8720;2035;32934;207;0;0;43896
AH Melčice;0;0;0;0;0;0;0;0;7634;1709;37435;118;0;0;46896
AH Milochov;0;0;0;0;0;0;0;0;8481;2095;33474;199;0;0;44249
AH Most;0;0;0;0;0;0;0;0;1554;1363;15437;28;0;0;18382
AH Nacina Ves;0;0;0;0;0;0;0;0;30;74;403;4;0;0;511
AH Nimnica;0;0;0;0;0;0;0;0;8481;2095;33474;199;0;0;44249
AH Nosice;0;0;0;0;0;0;0;0;8481;2095;33474;199;0;0;44249
AH Opatová;0;0;0;0;0;0;0;0;8105;1760;42740;117;0;0;52722
AH Petrovce nad Laborcom;0;0;0;0;0;0;0;0;30;74;403;4;0;0;511
AH Podhradie;0;0;0;0;0;0;0;0;1845;1433;6265;34;0;0;9577
AH Príkrik;0;0;0;0;0;0;0;0;8816;2090;32938;231;0;0;44075
AH Prílohy;0;0;0;0;0;0;0;0;6939;3300;46741;89;0;0;57069
AH Rašov;0;0;0;0;0;0;0;0;8720;2035;32934;207;0;0;43896
AH Richtárske;0;0;0;0;0;0;0;0;6938;3299;46741;89;0;0;57067
AH Rohov;0;0;0;0;0;0;0;0;1534;869;175;2;0;0;2580
AH Straník;0;0;0;0;0;0;0;0;6742;1131;35419;270;0;0;43562
AH Suť;0;0;0;0;0;0;0;0;704;752;10163;4;0;0;11623
