;;;;KAPACITA  2025;;;;
  ŽSR vyjadruje voľnú kapacitu trate:;;;;;;;;
a)  využitím  priepustnej  výkonnosti pravidelnou vlakovou dopravou, ;;;;;;;;
b)  počtom voľných  vlakových trás.;;;;;;;;
;;;;;;;;
;Vysvetlivky:;OD   - osobná doprava;;P   - párny smer;;Ppp   - párny smer, vlaky podľa potreby;;
;;ND   - nákladná doprava;;N   - nepárny smer;;Npp   - nepárny smer, vlaky podľa potreby;;
;;;;;;;;
Trať;Traťový úsek;Obmedzujúci medzistaničný úsek;Smer;Počet  trás vlakov;;;Voľná kapacita (NVK);Stupeň obsadenia traťovej koľaje pravidelnou dopravou (So)
;;;;OD;ND;Kapacita (n);Využitie praktickej priepustnosti v % (Kvp);
;;;P;4;9;35;;0,41
101;Čop (UA);Výh (UA) km 271,0;Ppp;1;1;;5;
A;Čierna nad Tisou ;Čierna nad Tisou;N;4;9;;73,9;
;;;Npp;1;1;;;
;;;P;17;30;82;32;0,41
101;Čierna nad Tisou;Slov. Nové Mesto;Ppp;1;2;;57,0;
A;Michaľany;Michaľany;N;16;33;81;28;0,43
;;;Npp;1;3;;60,9;
;;;P;33;33;120;49;0,31
101;Michaľany;Ruskov;Ppp;1;4;;55,1;
A;Košice;Nižná Myšľa;N;32;34;120;48;0,41
;;;Npp;1;5;;55,1;
;;;P;0;8;37;;0,43
101;Výh UZ 271,0 ŠRT;Výh UZ km 271,0 ŠRT;Ppp;0;0;;21;
B;Čierna nad Tisou ŠRT;Čierna nad Tisou ŠRT;N;0;8;;43,4;
;;;Npp;0;0;;;
;;;P;0;0;146;;0,00
101;Slov. Nové Mesto;Slov. Nové Mesto;Ppp;0;0;;146;
C;Sátoraljaújhely (HU);Sátoraljaújhely (HU);N;0;0;;0,0;
;;;Npp;0;0;;;
;;;P;0;10;33;;0,47
102;Užhorod PSP (UA);Pavlovo (UA);Ppp;0;2;;9;
A;Maťovce ŠRT;Maťovce ŠRT;N;0;10;;61,0;
;;;Npp;0;2;;;
;Poznámka:  Vypočítaná priepustnosť sa vzťahuje len na prevádzkové zariadenie. Do výpočtu nie je zahrnutá technológia prác colnej kontroly.;;;;;;;
;;;P;0;11;61;;0,27
102;Maťovce ŠRT;Maťovce ŠRT;Ppp;0;2;;35;
A;Výh Vojany ŠRT;Výh Vojany ŠRT;N;0;11;;35,9;
;;;Npp;0;2;;;
;;;P;0;9;31;;0,43
102;Výh Vojany ŠRT;Výh Trebišov ŠRT;Ppp;0;1;;11;
A;Haniska pri Koš. ŠRT;Výh Slivník ŠRT;N;0;9;;57,5;
;;;Npp;0;1;;;
;;;P;3;0;26;;0,15
103;Łupków (PL);Łupków (PL);Ppp;0;0;;20;
A;Medzilaborce;Medzilaborce;N;3;0;;23,1;
;;;Npp;0;0;;;
;;;P;10;2;32;;0,39
103;Medzilaborce;Medzilaborce;Ppp;0;1;;7;
A;Humenné;Radvaň nad Labor.;N;10;1;;71,9;
;;;Npp;0;1;;;
;;;P;21;6;69;;0,57
103;Humenné;Humenné;Ppp;0;1;;15;
A;Strážske;Strážske;N;21;4;;75,4;
;;;Npp;0;1;;;
;;;P;0;0;43;;0,00
