Názov;Druh;PRM prístup;Cestovné poriadky
Abovce;zastávka;N/A;160
Alekšince;železničná stanica;ÁNO;141
Andač;zastávka;ÁNO;141
Babiná;zastávka;N/A;153
Bacúch;zastávka;ÁNO;172
Báhoň;zastávka;ÁNO;120
Bajč;železničná stanica;ÁNO;135
Balvany;zastávka;N/A;136
Bánov;železničná stanica;ÁNO;140,150,151
Bánovce nad Bebravou;železničná stanica;ÁNO;143
Bánovce nad Ondavou;železničná stanica;ÁNO;191,195
Banská Belá;železničná stanica;ÁNO;154
Banská Belá zastávka;zastávka;N/A;154
Banská Bystrica;železničná stanica;ÁNO;170,172
Banská Bystrica mesto;zastávka;ÁNO;170
Banská Štiavnica;železničná stanica;ÁNO;154
Banský Studenec;zastávka;ÁNO;154
Barca;železničná stanica;ÁNO;160,169
Bardejov;železničná stanica;ÁNO;194
Bartošova Lehôtka;železničná stanica;ÁNO;171
Bartošovce;zastávka;ÁNO;194
Behynce;zastávka;N/A;142
Belá nad Cirochou;zastávka;ÁNO;196
Belina;zastávka;N/A;164
Beluša;zastávka;ÁNO;120
Beňuš;zastávka;ÁNO;172
Bernolákovo;železničná stanica;ÁNO;130
Beša;železničná stanica;ÁNO;150
Betliar;železničná stanica;ÁNO;167
Biel;zastávka;ÁNO;190
Bielovce;zastávka;ÁNO;153
Bíňa;zastávka;ÁNO;152
Bíňa zastávka;zastávka;N/A;152
Bíňovce;zastávka;ÁNO;116
Biskupová;zastávka;N/A;142
Blhovce;železničná stanica;ÁNO;160
Bodza;zastávka;ÁNO;131
Bohdanovce;zastávka;ÁNO;190
Bohúňovo;zastávka;N/A;160
Boleráz;železničná stanica;ÁNO;116
Bolešov;zastávka;N/A;124
Borčice;zastávka;N/A;124
Borský Mikuláš;zastávka;ÁNO;116
Borša;zastávka;ÁNO;190
Bošany;železničná stanica;ÁNO;140
Branč;zastávka;ÁNO;140
Bratislava hlavná stanica;železničná stanica;ÁNO;110,120,130,132
Bratislava predmestie;železničná stanica;ÁNO;120,130
Bratislava ústredná nákladná stanica;železničná stanica;N/A;132
Bratislava-Lamač;železničná stanica;ÁNO;100,110
Bratislava-Nové Mesto;železničná stanica;ÁNO;120,130,131,132
Bratislava-Petržalka;železničná stanica;ÁNO;132,137
Bratislava-Rača;železničná stanica;ÁNO;120
Bratislava-Vajnory;železničná stanica;ÁNO;130
Bratislava-Vinohrady;zastávka;ÁNO;120,130
Bratislava-Vrakuňa;zastávka;ÁNO;131
Bratislava-Železná studienka;zastávka;ÁNO;110
Brekov;zastávka;ÁNO;191,193
Brestovany;železničná stanica;ÁNO;120
Brestovec;zastávka;ÁNO;121
Breziny;zastávka;N/A;153
Breznička;železničná stanica;ÁNO;162,163
Brezno;železničná stanica;ÁNO;172,174
Brezno mesto;zastávka;ÁNO;172,174
Brezno-Halny;zastávka;ÁNO;172,174
Brezno-Rohozná;zastávka;ÁNO;174
Brezová pod Bradlom;železničná stanica;N/A;117
Brezová pod Bradlom zastávka;zastávka;N/A;117
Brodno;zastávka;ÁNO;127
Brodské;zastávka;ÁNO;110
Brunovce;zastávka;ÁNO;120
Brusno kúpele;zastávka;ÁNO;172
Budkovce;železničná stanica;ÁNO;195
Bujakovo zastávka;zastávka;ÁNO;172
Buková;zastávka;ÁNO;116
Bušovce;zastávka;ÁNO;185
Bystrany na Spiši;zastávka;N/A;187
Bystré;zastávka;ÁNO;193
Bystričany;železničná stanica;ÁNO;140
Bytča;železničná stanica;ÁNO;120
Bytčica;železničná stanica;ÁNO;126
Bzenica;zastávka;ÁNO;150
Bziny;zastávka;ÁNO;181
Bzovík;zastávka;ÁNO;153
Bzovská Lehôtka;zastávka;ÁNO;153
Cerová-Lieskové;zastávka;ÁNO;116
Cestice;zastávka;ÁNO;160
Cífer;železničná stanica;ÁNO;120
