class,count
http://data.europa.eu/949/InfrastructureElement,12442
http://data.europa.eu/949/RunningTrack,4822
http://data.europa.eu/949/NetBasicReference,4778
http://data.europa.eu/949/TENTCorridor,4335
http://data.europa.eu/949/NetPointReference,3615
http://data.europa.eu/949/Siding,2470
http://www.opengis.net/ont/geosparql#Feature,2378
http://data.europa.eu/949/ContactLineSystem,2282
http://www.opengis.net/ont/geosparql#Geometry,2203
http://data.europa.eu/949/PlatformEdge,1710
http://data.europa.eu/949/TrainDetectionSystem,1361
http://data.europa.eu/949/LinearPositioningSystemCoordinate,1359
http://data.europa.eu/949/ETCS,1333
http://data.europa.eu/949/KilometricPost,1237
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,1215
http://data.europa.eu/949/NetLinearReference,1163
http://data.europa.eu/949/SectionOfLine,1081
http://data.europa.eu/949/OperationalPoint,1040
http://data.europa.eu/949/PrimaryLocation,1040
http://data.europa.eu/949/LinearPositioningSystem,133
http://data.europa.eu/949/Tunnel,82
http://data.europa.eu/949/LoadCapability,69
http://data.europa.eu/949/PhaseInfo,35
http://data.europa.eu/949/RaisedPantographsDistanceAndSpeed,6
http://data.europa.eu/949/MinimumVerticalRadius,3
http://www.w3.org/2006/time#Instant,3
http://data.europa.eu/949/TemporalFeature,2
http://www.w3.org/2006/time#TemporalEntity,2
http://data.europa.eu/949/Body,1
http://data.europa.eu/949/Document,1
http://data.europa.eu/949/OrganisationRole,1
http://data.europa.eu/949/SystemSeparationInfo,1
http://www.w3.org/ns/org#Organization,1
